City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Waitangi,-43.9535,-176.5597,54.82,84,58,5.01,NZ,1699799211
1,Bilajer,40.5681,50.0378,62.42,82,0,20.71,AZ,1699799212
2,Port-Aux-Francais,-49.35,70.2167,41.14,92,100,37.94,TF,1699799212
3,Puerto Natales,-51.7236,-72.4875,52.25,46,75,14.97,CL,1699799212
4,Ketchikan,55.3422,-131.6461,42.78,93,75,0.0,US,1699799212
5,Yuzhno-Kurilsk,44.0306,145.8556,36.37,80,62,9.55,RU,1699799212
6,West Island,-12.1568,96.8225,80.58,83,40,12.66,CC,1699799213
7,Petropavlovsk-Kamchatsky,53.0452,158.6483,26.46,74,75,28.01,RU,1699799213
8,Avarua,-21.2078,-159.775,71.65,73,100,9.22,CK,1699799213
9,Camocim,-2.9022,-40.8411,90.86,48,3,15.21,BR,1699798988
10,Patrocinio,-18.9439,-46.9925,96.01,19,5,2.44,BR,1699799213
11,Lebu,-37.6167,-73.65,50.9,57,2,14.05,CL,1699799214
12,Pemangkat,1.1667,108.9667,77.95,87,100,4.61,ID,1699799214
13,Blackmans Bay,-43.0167,147.3167,48.52,73,100,1.01,AU,1699799214
14,La'Ie,21.6477,-157.9253,76.96,78,32,10.0,US,1699799214
15,Baikonur,45.6167,63.3167,43.7,62,29,9.06,KZ,1699799214
16,Sao Miguel Do Araguaia,-13.275,-50.1628,98.49,27,42,6.24,BR,1699799122
17,Puerto Ayora,-0.7393,-90.3518,80.56,97,58,7.0,EC,1699799215
18,Ushuaia,-54.8,-68.3,44.26,61,0,5.75,AR,1699799216
19,Viqueque,-8.8673,126.3658,76.64,82,56,0.87,TL,1699799216
20,Guarapari,-20.6667,-40.4975,94.89,52,89,10.98,BR,1699799216
21,Constantia,44.1833,28.65,56.08,34,1,25.08,RO,1699799216
22,Whitehorse,60.7161,-135.0538,29.17,92,100,3.44,CA,1699799217
23,Isafjordur,66.0755,-23.124,35.64,69,0,0.0,IS,1699799217
24,Iqaluit,63.7506,-68.5145,2.93,71,75,15.01,CA,1699799217
25,Punta Arenas,-53.15,-70.9167,50.11,53,40,19.57,CL,1699799217
26,Flin Flon,54.7682,-101.865,33.64,93,100,8.05,CA,1699799217
27,Nova Xavantina,-14.6667,-52.35,103.1,21,75,5.5,BR,1699799218
28,Brisas De Zicatela,15.8369,-97.0419,77.52,69,0,6.91,MX,1699799218
29,Adamstown,-25.066,-130.1015,72.72,78,100,16.42,PN,1699799218
30,Puerto Maldonado,-12.6,-69.1833,91.8,70,0,8.05,PE,1699799218
31,Tamanrasset,22.785,5.5228,82.31,9,0,9.22,DZ,1699799219
32,Pavlodar,52.3,76.95,35.4,93,0,6.71,KZ,1699799219
33,Mitu,1.1983,-70.1733,86.14,61,30,2.77,CO,1699798980
34,Stanley,54.868,-1.6985,44.71,88,20,2.3,GB,1699799219
35,Pingdingshan,33.7385,113.3012,43.05,56,100,5.59,CN,1699799219
36,Qacha'S Nek,-30.1154,28.6894,68.05,38,0,12.01,LS,1699799220
37,Luwuk,-0.9516,122.7875,78.89,85,79,2.51,ID,1699799220
38,Saipan,15.1355,145.701,83.1,78,20,13.8,MP,1699799220
39,Udachny,66.4167,112.4,-4.32,100,83,3.2,RU,1699799220
